itern              mu    diff_loc_imp       diff_prev  diff_occupancy       occupancy             n_d           n_d^2
    1      0.64216213    0.0084108547      0.16398448     0.065470854      0.86547085      0.88853937       1.0170551
    2       0.5741645    0.0030978085    0.0033493954     0.048255971      0.84825597      0.86718698      0.97416891
    3      0.52350108   0.00032006552    0.0045037027     0.044544781      0.84454478      0.85230837       0.9414432
    4      0.47628782   0.00017268054   0.00071734576     0.027302093      0.82730209      0.83295835      0.91564056
    5      0.44771385   5.3786544e-05   0.00061194943     0.015770189      0.81577019      0.81874591       0.8989428
    6      0.43141157   3.4389543e-05   9.5803467e-05    0.0092609525      0.80926095      0.81131463      0.88949293
    7       0.4218851   3.6219974e-05   7.0298983e-05    0.0066359266      0.80663593      0.80579179      0.88292836
    8      0.41508997   4.5394459e-05   1.8090337e-05     0.003372759      0.80337276       0.8033836      0.87950222
    9      0.41163888   5.8836519e-05   3.9946198e-06    0.0018216545      0.80182165      0.80201428      0.87764485
   10      0.40977602   6.3798298e-05   1.2233521e-06    0.0010893665      0.80108937      0.80114622      0.87653595
   11       0.4086626   6.6668707e-05   4.6643466e-07   0.00065912659      0.80065913      0.80061702      0.87586459
   12      0.40798914   6.8441404e-05   1.7720377e-07    0.0004008603      0.80040086       0.8002953      0.87545701
   13      0.40757964   6.9585938e-05   6.3147782e-08   0.00024307578      0.80024308      0.80009973      0.87520941
   14      0.40733135   6.6313078e-05   1.9156154e-05    0.0011140804      0.80111408      0.79886246      0.87412914
   15       0.4061955   4.4649172e-05   3.3068056e-05    0.0015339654      0.79846603      0.79964787      0.87487646
   16      0.40776152   9.3561414e-07   2.8640845e-05   0.00053053204      0.79946947      0.79906849      0.87497347
   17       0.4083021   2.4832645e-07   1.0162251e-07   0.00028178248      0.79971822      0.79922432      0.87523285
   18      0.40858922   1.3376858e-07   1.5578919e-07   0.00031745343      0.79968255      0.79939068      0.87547054
   19       0.4089127    4.889485e-09   6.2642565e-08    0.0001200386      0.79987996      0.79949021      0.87561346
   20      0.40903502   1.3442978e-09    1.054924e-08   6.0717325e-05      0.79993928      0.79955162      0.87568525
