itern      time              mu    diff_loc_imp       diff_prev  diff_occupancy       occupancy             n_d           n_d^2
    1  00:06:02    0.6421619697  0.008411479542    0.1639841813   0.06547096318    0.8654709632    0.8885393455     1.017055044
    2  00:05:40    0.6094264881  0.002947335462  0.003131180036   0.06403150344    0.8640315034    0.8784976053    0.9914639064
    3  00:05:31    0.5341079894 0.0003753266733  0.005742589737   0.05530998106    0.8553099811     0.854118686    0.9435892746
    4  00:05:26    0.5128267315   0.00010949408 0.0003598218867   0.04644064975    0.8464406497    0.8445701585    0.9322255275
    5  00:05:20    0.4723176613 4.242211562e-05 0.0008517520117   0.02979177615    0.8297917761      0.82666512    0.9099246133
    6  00:05:14    0.4473103415 2.908317417e-05 0.0002954323732   0.01866702767    0.8186670277    0.8156690638    0.8961595221
    7  00:05:12    0.4282013861 9.904987096e-06 0.0001578095871  0.009553610892    0.8095536109    0.8074811827    0.8858101245
    8  00:05:07    0.4056156082 2.038768692e-06 0.0002217618116  0.001506677589    0.7984933224    0.7977414887     0.873551161
    9  00:05:08    0.4093774641 6.481284299e-07 6.806570424e-06 0.0002210171324    0.8002210171    0.7995165404    0.8757277797
   10  00:05:08    0.4099125524  1.58547134e-07 3.331267061e-07 0.0004159241479    0.8004159241    0.7998536583    0.8761024734
   11  00:05:08    0.4088462771 8.602161777e-08 4.738693544e-07 0.0001211821814    0.7998788178     0.799407054     0.875535359
   12  00:05:08    0.4088845994 6.107352358e-09 5.259419954e-08  0.000148136194    0.7998518638    0.7994900346     0.875609141
   13  00:05:10    0.4091154072 1.723665742e-09 2.674372431e-08 3.686407742e-05    0.7999631359    0.7995992653    0.8757414884
   14  00:05:08     0.409154608 8.669317202e-10 9.498377741e-10 1.785472443e-05    0.7999821453    0.7996178145    0.8757638289
   15  00:05:11    0.4092113941 8.080866895e-10 1.916223848e-09 9.947223712e-06    0.8000099472    0.7996441572    0.8757958041
   16  00:05:10    0.4091891927 7.427825505e-10 2.768044873e-10 8.937689462e-07    0.7999991062    0.7996341098    0.8757834454
   17  00:05:09    0.4091894775  7.50587313e-10 1.334711834e-13 7.749294734e-07    0.7999992251    0.7996343053    0.8757836501
